Term,Definition
ae1,A wholly good being eliminates every evil it can 
ae2,An omnipotent being can do anything
ae3,Therefore a wholly good omnipotent being eliminates every evil
ae4,If God exists he is wholly good and omnipotent
ae5,Therefore if God exists God eliminates every evil
ae6,If God eliminates every evil there is no evil
ae7,Therefore if God exists no evil exists
ae8,But evil does exist
ae9,Therefore it is not the case that is God exists then evil doesn't
ae10,Therefore God doesn't exist
